94232944744	下达指示
942329464264	渣打银行
94233	乍得|扎德
9423348	乍得湖
9423364	下风|狭缝
9423364942	夏风夏
94234	一倍|一杯|一辈|下地|以北|以备|椅背|自卑|自备|衣被|西北|贻贝
9423423	西北侧
942342482694664	下底传中
9423426	炸掉
94234266426	下垫面
9423428	西北部
942342823	以备不测
9423428744	以备不时
942343	下跌
942343264	西北方
9423432983	西北大学
942343364	西北风
942343478	西北地区
94234426	自卑感
94234426486	下地干活
9423443	易北河
9423446649332983	西北工业大学
942345426	西北角|西北郊
9423458	西北局|西北麓
94234586	西北军
9423464	下定
942346426	西北面
9423464583946	下定决心
942346494	下定义
9423468	西北欧
9423478	西北区
94234926226	自备晚餐
94234926454	易被忘记
9423494	一辈子
9423494654	自卑心理
942349494	一悲一喜
9423498636	下地无门
94236	一本|译本|资本
9423624894664	一本初衷
942363	资本额
942364	一层
9423642364	一层层
9423647268426	一蹦三跳
94236482	资本化
94236542	资本家
94236546	资本金
94236586	资本论
9423664549464	资本密集型
942368	夏都
942368946	夏斗寅
94236924826	资本外逃
9423692654	一本万利
94236943645464	一本正经
9423694894	资本主义
94237	遐迩
942379366464	遐尔闻名|遐迩闻名
942379484	遐迩一体
94238	下毒|下浮|下肚|下腹|乍读
9423826	下端
942382698	下断语
942384	扎堆
942386	下堕
942387468	下毒手
9424	一壁|一次|一比|一笔|亿次|以次|以此|依次|喜爱|席次|系辞|细瓷|自此|自爱
94242	一茬|细察|自查|西庇阿
94242226286	一差半错
9424224	择菜
9424228946	疑诧不信
9424232634	一查到底
9424237286	一差二错
942423798	一差二误
942424	一次次|下海
94242426	摘抄|摘编
942424664426	以次充好
9424248	摘除
94242542643	一差两讹
942426	一产|一朝|一边|一遍|下疳|以便|仪表|吸潮|姨表|徙边|溪边|炸糕|自产|自便|自嘲|自编|蚁巢|西边|资产|遗产
9424262	一刹那
942426226	仪表板
9424263	资产额
942426326	一边倒
9424263264	西朝房
942426334326	一表非凡|仪表非凡
94242633478	一表非俗
94242634	遗产地
94242634649426	以产定销
9424263664	西朝东
94242638942458	资产负债率
9424264	一场|下岗|子长|字长|宜昌|异常|细长|西昌|轧钢
942426422443	一倡百和|一唱百和
94242642263826	一长半短
942426424264	一场场|轧钢厂
942426424854	异常处理
942426424866364	一场春梦
942426426543	西长安街
9424264373826	一长二短
9424264538464	喜唱乐听
9424264542643826	一长两短
94242645664	一场空
9424264726826	一倡三叹
9424264744	宜昌市|西昌市
9424264934542	以厂为家
94242649426	子长县|宜昌县
9424264943826	一长一短
9424264944	一长制
94242649443	一倡一和|一唱一和
9424264946643826	异常中断
9424264985464	一场虚惊
94242654264	自变量
942426543	易潮解
94242654354	资产阶级
942426636	西便门
942426726	仪表盘
942426736224	一表人才
942426742654	一朝千里
94242682648264	一表堂堂|仪表堂堂
942426842694	一朝天子
9424269426948	一鞭先著
942426943	资产者
94242694326	侠肝义胆
942426944336	一朝之忿
9424269444826	一朝之患
9424269494	一朝一夕
942426949426	自产自销
942428468	一笔不苟
9424294548	自查自纠
94243	一车|下河|下颌|惜别
9424324	窄带
